127.0.0.1 - - [10/Aug/2021:12:23:31 +0900] "GET / HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [10/Aug/2021:12:23:35 +0900] "GET / HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [10/Aug/2021:12:23:37 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Aug/2021:12:23:49 +0900] "GET /main HTTP/1.1" 200 11966
0:0:0:0:0:0:0:1 - - [10/Aug/2021:12:23:49 +0900] "GET /resources/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2021:12:23:50 +0900] "GET /getPcover?vinId=21 HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [10/Aug/2021:12:23:50 +0900] "GET /getPcover?vinId=22 HTTP/1.1" 200 135
0:0:0:0:0:0:0:1 - - [10/Aug/2021:12:23:50 +0900] "GET /getPcover?vinId=24 HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [10/Aug/2021:12:23:50 +0900] "GET /getPcover?vinId=23 HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [10/Aug/2021:12:23:50 +0900] "GET /getPcover?vinId=19 HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [10/Aug/2021:12:23:50 +0900] "GET /getPcover?vinId=25 HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [10/Aug/2021:12:23:50 +0900] "GET /display?fileName=2021%5C08%5C04%2Fs_6f15c0e1-446a-462a-ac59-e7fc8cac0f4a_onepiece_jumpsuite.jpg HTTP/1.1" 200 9556
0:0:0:0:0:0:0:1 - - [10/Aug/2021:12:23:50 +0900] "GET /display?fileName=2021%5C08%5C04%2Fs_15d673ab-8eae-421c-83ad-f0473c6ed37d_shoesbags_bag.jpg HTTP/1.1" 200 12033
0:0:0:0:0:0:0:1 - - [10/Aug/2021:12:23:50 +0900] "GET /display?fileName=2021%5C08%5C04%2Fs_de9ed9ce-5b79-408f-b899-ae35b29da040_bottom_pants_2.jpg HTTP/1.1" 200 11577
0:0:0:0:0:0:0:1 - - [10/Aug/2021:12:23:50 +0900] "GET /display?fileName=2021%5C08%5C04%2Fs_29ff47f8-f8e1-43f5-81ab-c060c5f28f21_onepiece_dress_2.jpg HTTP/1.1" 200 10355
0:0:0:0:0:0:0:1 - - [10/Aug/2021:12:23:50 +0900] "GET /display?fileName=2021%5C08%5C04%2Fs_849145f7-f63d-45b7-a6be-6ecb8a92180a_acc_ring.jpg HTTP/1.1" 200 4588
0:0:0:0:0:0:0:1 - - [10/Aug/2021:12:23:50 +0900] "GET /display?fileName=2021%5C08%5C04%2Fs_5f449898-ab87-408d-84e1-0c7728f45ecb_top_shirts.jpg HTTP/1.1" 200 11648
0:0:0:0:0:0:0:1 - - [10/Aug/2021:12:23:58 +0900] "GET /detail?num=25 HTTP/1.1" 200 6629
0:0:0:0:0:0:0:1 - - [10/Aug/2021:12:23:58 +0900] "GET /resources/css/detail.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2021:12:23:58 +0900] "GET /getPcover?vinId=25 HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [10/Aug/2021:12:23:58 +0900] "GET /display?fileName=2021%5C08%5C04%2Fde9ed9ce-5b79-408f-b899-ae35b29da040_bottom_pants_2.jpg HTTP/1.1" 200 67960
0:0:0:0:0:0:0:1 - - [10/Aug/2021:12:24:01 +0900] "POST /order/cart HTTP/1.1" 500 4202
0:0:0:0:0:0:0:1 - - [10/Aug/2021:14:04:25 +0900] "GET /main HTTP/1.1" 200 11966
0:0:0:0:0:0:0:1 - - [10/Aug/2021:14:04:26 +0900] "GET /getPcover?vinId=22 HTTP/1.1" 200 135
0:0:0:0:0:0:0:1 - - [10/Aug/2021:14:04:26 +0900] "GET /getPcover?vinId=19 HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [10/Aug/2021:14:04:26 +0900] "GET /getPcover?vinId=21 HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [10/Aug/2021:14:04:26 +0900] "GET /getPcover?vinId=25 HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [10/Aug/2021:14:04:26 +0900] "GET /getPcover?vinId=23 HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [10/Aug/2021:14:04:26 +0900] "GET /getPcover?vinId=24 HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [10/Aug/2021:14:04:26 +0900] "GET /display?fileName=2021%5C08%5C04%2Fs_5f449898-ab87-408d-84e1-0c7728f45ecb_top_shirts.jpg HTTP/1.1" 200 11648
0:0:0:0:0:0:0:1 - - [10/Aug/2021:14:04:26 +0900] "GET /display?fileName=2021%5C08%5C04%2Fs_849145f7-f63d-45b7-a6be-6ecb8a92180a_acc_ring.jpg HTTP/1.1" 200 4588
0:0:0:0:0:0:0:1 - - [10/Aug/2021:14:04:27 +0900] "GET /display?fileName=2021%5C08%5C04%2Fs_15d673ab-8eae-421c-83ad-f0473c6ed37d_shoesbags_bag.jpg HTTP/1.1" 200 12033
0:0:0:0:0:0:0:1 - - [10/Aug/2021:14:04:27 +0900] "GET /display?fileName=2021%5C08%5C04%2Fs_29ff47f8-f8e1-43f5-81ab-c060c5f28f21_onepiece_dress_2.jpg HTTP/1.1" 200 10355
0:0:0:0:0:0:0:1 - - [10/Aug/2021:14:04:27 +0900] "GET /display?fileName=2021%5C08%5C04%2Fs_6f15c0e1-446a-462a-ac59-e7fc8cac0f4a_onepiece_jumpsuite.jpg HTTP/1.1" 200 9556
0:0:0:0:0:0:0:1 - - [10/Aug/2021:14:04:27 +0900] "GET /display?fileName=2021%5C08%5C04%2Fs_de9ed9ce-5b79-408f-b899-ae35b29da040_bottom_pants_2.jpg HTTP/1.1" 200 11577
0:0:0:0:0:0:0:1 - - [10/Aug/2021:14:04:31 +0900] "GET /detail?num=25 HTTP/1.1" 200 6429
0:0:0:0:0:0:0:1 - - [10/Aug/2021:14:04:31 +0900] "GET /getPcover?vinId=25 HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [10/Aug/2021:14:04:31 +0900] "GET /display?fileName=2021%5C08%5C04%2Fde9ed9ce-5b79-408f-b899-ae35b29da040_bottom_pants_2.jpg HTTP/1.1" 200 67960
0:0:0:0:0:0:0:1 - - [10/Aug/2021:14:04:37 +0900] "POST /order/cart HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Aug/2021:14:04:40 +0900] "GET /display?fileName=2021%5C08%5C04%2Fde9ed9ce-5b79-408f-b899-ae35b29da040_bottom_pants_2.jpg HTTP/1.1" 200 67960
0:0:0:0:0:0:0:1 - - [10/Aug/2021:14:25:00 +0900] "GET /main HTTP/1.1" 200 11966
0:0:0:0:0:0:0:1 - - [10/Aug/2021:14:25:02 +0900] "GET /getPcover?vinId=25 HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [10/Aug/2021:14:25:02 +0900] "GET /getPcover?vinId=22 HTTP/1.1" 200 135
0:0:0:0:0:0:0:1 - - [10/Aug/2021:14:25:02 +0900] "GET /getPcover?vinId=21 HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [10/Aug/2021:14:25:02 +0900] "GET /getPcover?vinId=24 HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [10/Aug/2021:14:25:02 +0900] "GET /getPcover?vinId=19 HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [10/Aug/2021:14:25:02 +0900] "GET /getPcover?vinId=23 HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [10/Aug/2021:14:25:02 +0900] "GET /display?fileName=2021%5C08%5C04%2Fs_6f15c0e1-446a-462a-ac59-e7fc8cac0f4a_onepiece_jumpsuite.jpg HTTP/1.1" 200 9556
0:0:0:0:0:0:0:1 - - [10/Aug/2021:14:25:02 +0900] "GET /display?fileName=2021%5C08%5C04%2Fs_29ff47f8-f8e1-43f5-81ab-c060c5f28f21_onepiece_dress_2.jpg HTTP/1.1" 200 10355
0:0:0:0:0:0:0:1 - - [10/Aug/2021:14:25:02 +0900] "GET /display?fileName=2021%5C08%5C04%2Fs_15d673ab-8eae-421c-83ad-f0473c6ed37d_shoesbags_bag.jpg HTTP/1.1" 200 12033
0:0:0:0:0:0:0:1 - - [10/Aug/2021:14:25:02 +0900] "GET /display?fileName=2021%5C08%5C04%2Fs_de9ed9ce-5b79-408f-b899-ae35b29da040_bottom_pants_2.jpg HTTP/1.1" 200 11577
0:0:0:0:0:0:0:1 - - [10/Aug/2021:14:25:02 +0900] "GET /display?fileName=2021%5C08%5C04%2Fs_849145f7-f63d-45b7-a6be-6ecb8a92180a_acc_ring.jpg HTTP/1.1" 200 4588
0:0:0:0:0:0:0:1 - - [10/Aug/2021:14:25:02 +0900] "GET /display?fileName=2021%5C08%5C04%2Fs_5f449898-ab87-408d-84e1-0c7728f45ecb_top_shirts.jpg HTTP/1.1" 200 11648
0:0:0:0:0:0:0:1 - - [10/Aug/2021:14:25:04 +0900] "GET /member/login HTTP/1.1" 200 5510
0:0:0:0:0:0:0:1 - - [10/Aug/2021:14:25:08 +0900] "POST /member/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Aug/2021:14:25:08 +0900] "GET /main HTTP/1.1" 200 12145
0:0:0:0:0:0:0:1 - - [10/Aug/2021:14:25:08 +0900] "GET /getPcover?vinId=25 HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [10/Aug/2021:14:25:08 +0900] "GET /getPcover?vinId=24 HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [10/Aug/2021:14:25:08 +0900] "GET /getPcover?vinId=23 HTTP/1.1" 200 127
